epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.5786,2.07171,3.49939,1.72421,0.0445,0.43692,0.05481,0.01985,1.5237,3.4924,1.33863,8.335e-05,8.335e-05,8.335e-05
2,29.8237,1.7152,3.40228,1.52415,0.04909,0.4921,0.06626,0.0248,1.34085,3.45991,1.21736,0.000179739,0.000179739,0.000179739
3,44.0522,1.56552,3.03203,1.41515,0.05666,0.58759,0.10086,0.04561,1.16606,3.38211,1.09957,0.000272168,0.000272168,0.000272168
4,57.8501,1.45323,2.90245,1.27318,0.06166,0.64588,0.12291,0.06151,1.03404,3.2078,1.00198,0.000360635,0.000360635,0.000360635
5,71.1756,1.31005,2.39054,1.24098,0.06297,0.65139,0.25525,0.14399,0.98329,3.08241,0.9862,0.000445142,0.000445142,0.000445142
6,84.7923,1.22404,2.42658,1.11987,0.06165,0.61913,0.3976,0.23161,0.98974,2.92123,0.99058,0.000525688,0.000525688,0.000525688
7,98.5977,1.20542,2.19754,1.11751,0.96275,0.24599,0.45226,0.27884,0.93944,2.70133,0.98214,0.000602274,0.000602274,0.000602274
8,112.415,1.24984,2.06203,1.20519,0.96275,0.24599,0.45226,0.27884,0.93944,2.70133,0.98214,0.000674898,0.000674898,0.000674898
9,126.819,1.1823,2.10879,1.10934,0.96417,0.38481,0.46857,0.31759,0.8812,2.49683,0.97134,0.000743562,0.000743562,0.000743562
10,140.83,1.10164,2.23268,1.1242,0.95837,0.44554,0.50305,0.35919,0.87105,2.18587,0.95853,0.000808265,0.000808265,0.000808265
11,154.618,1.14765,1.75362,1.12631,0.95837,0.44554,0.50305,0.35919,0.87105,2.18587,0.95853,0.000869007,0.000869007,0.000869007
12,168.808,1.12114,1.68677,1.08673,0.96106,0.45545,0.54055,0.39199,0.79387,1.8552,0.91489,0.000925788,0.000925788,0.000925788
13,183.168,1.14667,1.61209,1.06867,0.96106,0.45545,0.54055,0.39199,0.79387,1.8552,0.91489,0.000978609,0.000978609,0.000978609
14,197.716,1.08183,1.65607,1.04283,0.96106,0.45545,0.54055,0.39199,0.79387,1.8552,0.91489,0.00102747,0.00102747,0.00102747
15,211.962,1.05043,1.49154,1.08763,0.93522,0.46567,0.57656,0.4192,0.8448,1.64884,0.88988,0.00107237,0.00107237,0.00107237
16,227.231,1.01992,1.38987,1.07476,0.93522,0.46567,0.57656,0.4192,0.8448,1.64884,0.88988,0.00111331,0.00111331,0.00111331
17,248.039,1.10844,1.59604,1.08785,0.31522,0.70161,0.61592,0.45354,0.86688,1.45549,0.89033,0.00113889,0.00113889,0.00113889
18,270.298,1.00258,1.30231,1.00833,0.31522,0.70161,0.61592,0.45354,0.86688,1.45549,0.89033,0.00110589,0.00110589,0.00110589
19,285.333,1.06707,1.46428,1.04115,0.31522,0.70161,0.61592,0.45354,0.86688,1.45549,0.89033,0.00107288,0.00107288,0.00107288
20,302.021,1.08514,1.39374,1.10569,0.3488,0.78788,0.65863,0.50365,0.82281,1.37575,0.8801,0.00103987,0.00103987,0.00103987
21,318.209,0.94919,1.3566,1.04201,0.3488,0.78788,0.65863,0.50365,0.82281,1.37575,0.8801,0.00100687,0.00100687,0.00100687
22,334.044,1.05785,1.27273,1.08027,0.3488,0.78788,0.65863,0.50365,0.82281,1.37575,0.8801,0.000973861,0.000973861,0.000973861
23,349.429,1.04489,1.24239,1.06144,0.76508,0.6404,0.80251,0.60371,0.81367,1.12889,0.89842,0.000940855,0.000940855,0.000940855
24,363.845,1.05624,1.30028,1.06513,0.76508,0.6404,0.80251,0.60371,0.81367,1.12889,0.89842,0.000907848,0.000907848,0.000907848
25,378.25,1.05375,1.19622,1.02503,0.93294,0.71776,0.88346,0.66017,0.83642,0.96755,0.93212,0.000874842,0.000874842,0.000874842
26,393.67,0.95252,1.13209,1.07874,0.93294,0.71776,0.88346,0.66017,0.83642,0.96755,0.93212,0.000841835,0.000841835,0.000841835
27,415.017,1.01863,1.23119,1.05947,0.93294,0.71776,0.88346,0.66017,0.83642,0.96755,0.93212,0.000808828,0.000808828,0.000808828
28,434.592,0.90707,1.20781,1.00943,0.9349,0.80462,0.91907,0.70453,0.82735,0.8844,0.95304,0.000775822,0.000775822,0.000775822
29,456.06,0.98393,1.03737,1.02086,0.9349,0.80462,0.91907,0.70453,0.82735,0.8844,0.95304,0.000742815,0.000742815,0.000742815
30,470.788,0.94009,1.21724,1.06987,0.9349,0.80462,0.91907,0.70453,0.82735,0.8844,0.95304,0.000709809,0.000709809,0.000709809
31,487.298,0.90115,1.16517,1.05124,0.94175,0.84723,0.93292,0.72777,0.80012,0.83747,0.94611,0.000676802,0.000676802,0.000676802
32,502.254,0.82848,1.03871,0.97501,0.94175,0.84723,0.93292,0.72777,0.80012,0.83747,0.94611,0.000643795,0.000643795,0.000643795
33,518.95,0.93081,1.10177,1.07241,0.95651,0.83637,0.9406,0.75269,0.75624,0.80697,0.92946,0.000610789,0.000610789,0.000610789
34,534.602,0.89383,1.06411,1.0218,0.95651,0.83637,0.9406,0.75269,0.75624,0.80697,0.92946,0.000577782,0.000577782,0.000577782
35,549.301,0.89662,1.00769,1.00203,0.95651,0.83637,0.9406,0.75269,0.75624,0.80697,0.92946,0.000544776,0.000544776,0.000544776
36,564.273,0.84335,1.03767,1.02843,0.92131,0.87011,0.93868,0.75694,0.76967,0.79587,0.92672,0.000511769,0.000511769,0.000511769
37,579.854,0.85916,0.93539,0.95007,0.92131,0.87011,0.93868,0.75694,0.76967,0.79587,0.92672,0.000478762,0.000478762,0.000478762
38,594.522,0.78769,0.98591,0.96962,0.92131,0.87011,0.93868,0.75694,0.76967,0.79587,0.92672,0.000445756,0.000445756,0.000445756
39,608.623,0.77943,0.96506,0.98147,0.91474,0.87903,0.94218,0.76985,0.74567,0.79441,0.92327,0.000412749,0.000412749,0.000412749
40,623.817,0.87842,1.01647,0.9993,0.91474,0.87903,0.94218,0.76985,0.74567,0.79441,0.92327,0.000379743,0.000379743,0.000379743
41,639.126,0.90902,1.33665,1.04762,0.9169,0.87903,0.94591,0.78386,0.71948,0.79547,0.92301,0.000346736,0.000346736,0.000346736
42,653.946,0.85973,1.22842,1.03572,0.9169,0.87903,0.94591,0.78386,0.71948,0.79547,0.92301,0.000313729,0.000313729,0.000313729
43,667.965,0.80664,1.74274,0.99477,0.9169,0.87903,0.94591,0.78386,0.71948,0.79547,0.92301,0.000280723,0.000280723,0.000280723
44,682.45,0.88292,1.11176,0.99003,0.95804,0.81602,0.94786,0.7848,0.71031,0.8225,0.92363,0.000247716,0.000247716,0.000247716
45,696.58,0.82682,1.18578,0.9886,0.95804,0.81602,0.94786,0.7848,0.71031,0.8225,0.92363,0.00021471,0.00021471,0.00021471
46,710.64,0.78876,1.1125,0.99913,0.95804,0.81602,0.94786,0.7848,0.71031,0.8225,0.92363,0.000181703,0.000181703,0.000181703
47,724.841,0.75413,1.00195,0.95564,0.9493,0.81503,0.94504,0.78096,0.71163,0.84477,0.92498,0.000148696,0.000148696,0.000148696
48,738.154,0.74677,1.01032,0.95237,0.9493,0.81503,0.94504,0.78096,0.71163,0.84477,0.92498,0.00011569,0.00011569,0.00011569
49,752.778,0.73912,1.62822,0.99168,0.93721,0.81602,0.9403,0.77784,0.70769,0.84969,0.92494,8.26832e-05,8.26832e-05,8.26832e-05
50,766.493,0.67013,1.40434,0.99011,0.93721,0.81602,0.9403,0.77784,0.70769,0.84969,0.92494,4.96766e-05,4.96766e-05,4.96766e-05
